Unnamed: 0,IMSDB_Title,RT_Title,CriticScore,AudienceScore,CriticScoreCategory
85,Analyze-This,Analyze-This,69.0,62.0,fresh
86,Anastasia,Anastasia,91.0,78.0,certified fresh
87,Anastasia,Anastasia,86.0,77.0,certified fresh
88,Angel-Eyes,Angel-Eyes,33.0,46.0,rotten
89,Angels-&-Demons,Angels-&-Demons,37.0,57.0,rotten
90,Anna-Karenina,Anna-Karenina,93.0,69.0,certified fresh
91,Anna-Karenina,Anna-Karenina,26.0,66.0,rotten
92,Anna-Karenina,Anna-Karenina,63.0,50.0,fresh
93,Annie-Hall,Annie-Hall,98.0,92.0,certified fresh
94,Anniversary-Party,Anniversary-Party,61.0,58.0,fresh
95,Anonymous,Anonymous,45.0,53.0,rotten
96,Antitrust,Antitrust,24.0,50.0,rotten
97,Antz,Antz,92.0,52.0,certified fresh
98,Apartment,Apartment,93.0,94.0,certified fresh
99,Apocalypse-Now,Apocalypse-Now,98.0,94.0,certified fresh
100,Apollo-13,Apollo-13,96.0,87.0,certified fresh
101,April-Fool's-Day,April-Fool's-Day,50.0,47.0,rotten
102,Apt-Pupil,Apt-Pupil,53.0,56.0,rotten
103,Arbitrage,Arbitrage,88.0,62.0,certified fresh
106,Argo,Argo,96.0,90.0,certified fresh
107,Armageddon,Armageddon,38.0,73.0,rotten
108,Army-of-Darkness,Army-of-Darkness,73.0,87.0,fresh
109,Arsenic-and-Old-Lace,Arsenic-and-Old-Lace,81.0,92.0,certified fresh
110,Arthur,Arthur,88.0,77.0,certified fresh
111,Arthur,Arthur,27.0,44.0,rotten
112,Artist,Artist,95.0,87.0,certified fresh
113,As-Good-As-It-Gets,As-Good-As-It-Gets,85.0,86.0,certified fresh
114,Assassins,Assassins,16.0,45.0,rotten
115,Assignment,Assignment,60.0,62.0,fresh
116,Assignment,Assignment,33.0,21.0,rotten
117,At-First-Sight,At-First-Sight,32.0,46.0,rotten
118,August-Osage-County,August:-Osage-County,67.0,65.0,fresh
121,Authors-Anonymous,Authors-Anonymous,7.0,15.0,rotten
122,Autumn-in-New-York,Autumn-in-New-York,19.0,54.0,rotten
123,Avatar,Avatar,82.0,82.0,certified fresh
124,Avengers,Avengers,5.0,15.0,rotten
125,Avengers,Avengers,5.0,15.0,rotten
126,Avengers-Endgame,Avengers:-Endgame,94.0,90.0,certified fresh
128,Awakenings,Awakenings,88.0,89.0,certified fresh
129,Babel,Babel,69.0,77.0,fresh
132,Back-to-the-Future,Back-to-the-Future,96.0,94.0,certified fresh
134,Back-up-Plan,Back-up-Plan,18.0,46.0,rotten
136,Bad-Boys,Bad-Boys,42.0,78.0,rotten
137,Bad-Boys,Bad-Boys,89.0,81.0,certified fresh
139,Bad-Day-at-Black-Rock,Bad-Day-at-Black-Rock,97.0,88.0,certified fresh
141,Bad-Lieutenant,Bad-Lieutenant,77.0,73.0,certified fresh
142,Bad-Santa,Bad-Santa,79.0,75.0,certified fresh
143,Bad-Teacher,Bad-Teacher,44.0,36.0,rotten
144,Badlands,Badlands,98.0,90.0,certified fresh
146,Barry-Lyndon,Barry-Lyndon,91.0,92.0,certified fresh
147,Barton-Fink,Barton-Fink,90.0,89.0,certified fresh
148,Basic,Basic,21.0,63.0,rotten
149,Basic-Instinct,Basic-Instinct,53.0,63.0,rotten
150,Basquiat,Basquiat,68.0,77.0,fresh
154,Batman-Begins,Batman-Begins,84.0,94.0,certified fresh
155,Batman-Forever,Batman-Forever,39.0,32.0,rotten
156,Batman-Returns,Batman-Returns,80.0,73.0,certified fresh
158,Battle-of-Shaker-Heights,Battle-of-Shaker-Heights,39.0,48.0,rotten
159,Battle-Los-Angeles,Battle:-Los-Angeles,36.0,48.0,rotten
160,Beach,Beach,20.0,57.0,rotten
161,Bean,Bean,44.0,53.0,rotten
163,Beasts-of-the-Southern-Wild,Beasts-of-the-Southern-Wild,87.0,76.0,certified fresh
164,Beauty-and-the-Beast,Beauty-and-the-Beast,94.0,92.0,certified fresh
165,Beauty-and-the-Beast,Beauty-and-the-Beast,71.0,80.0,fresh
166,Beavis-and-Butt-head-Do-America,Beavis-and-Butt-head-Do-America,72.0,69.0,fresh
167,Beginners,Beginners,85.0,77.0,certified fresh
168,Being-Human,Being-Human,54.0,42.0,rotten
169,Being-John-Malkovich,Being-John-Malkovich,93.0,87.0,certified fresh
170,Being-There,Being-There,95.0,92.0,certified fresh
171,Believer,Believer,83.0,82.0,certified fresh
172,Belle,Belle,84.0,82.0,certified fresh
173,Beloved,Beloved,78.0,71.0,certified fresh
174,Beloved,Beloved,56.0,45.0,rotten
175,Benny-&-Joon,Benny-&-Joon,76.0,85.0,certified fresh
176,Best-Exotic-Marigold-Hotel,Best-Exotic-Marigold-Hotel,78.0,78.0,certified fresh
177,Big,Big,97.0,82.0,certified fresh
179,Big-Eyes,Big-Eyes,72.0,68.0,fresh
180,Big-Fish,Big-Fish,75.0,89.0,certified fresh
181,Big-Lebowski,Big-Lebowski,83.0,93.0,certified fresh
182,Big-Sick,Big-Sick,98.0,88.0,certified fresh
183,Big-White,Big-White,30.0,56.0,rotten
184,Birdman,Birdman,91.0,77.0,certified fresh
185,Birds,Birds,95.0,83.0,certified fresh
186,Birthday-Girl,Birthday-Girl,58.0,39.0,rotten
187,Black-Dahlia,Black-Dahlia,32.0,27.0,rotten
188,Black-Panther,Black-Panther,96.0,79.0,certified fresh
189,Black-Rain,Black-Rain,50.0,55.0,rotten
190,Black-Snake-Moan,Black-Snake-Moan,66.0,69.0,fresh
191,Black-Swan,Black-Swan,83.0,72.0,certified fresh
192,Black-Swan,Black-Swan,85.0,84.0,certified fresh
193,BlacKkKlansman,BlacKkKlansman,96.0,83.0,certified fresh
194,Blade,Blade,56.0,78.0,rotten
195,Blade-II,Blade-II,57.0,68.0,rotten
196,Blade-Runner,Blade-Runner,90.0,91.0,certified fresh
197,Blade-Trinity,Blade:-Trinity,26.0,59.0,rotten
198,Blast-from-the-Past,Blast-from-the-Past,58.0,56.0,rotten
199,Blind-Side,Blind-Side,66.0,85.0,fresh
